Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
Management ,Learning Generative Models , ,L4 , , ,B.Sc. ab 1. Semester , ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II (Ar-,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Seminar , ,Voraussetzungen nach , ,Die Teilnehmer kennen verborgene Markovsche und nicht-,Seite 51   Inhaltsverzeichnis , , , 
Laborrotation in Neurobiologischer Lernforschung ,Lindenmayer-Systems , ,L3 , , ,B.Sc. ab 3. Semester ,Wintersemester ,beitsgruppe KMD) ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Vorlesung; Übung , ,Prüfungsordnung: , ,Markovsche Prozesse ,     , , ,"Brian W. Kernighan, Dennis Ritchie. The C Programming "
Learning Generative Models ,"Liquid Democracy -> ""Digitization of Politics - Politics of ", ,LPF , , ,B.Sc. ab 5. Semester ,Wintersemester ,Professur für Angewandte Informatik / Visualisierung ,Prof. Dr.-Ing. Jana Dittmann ,deutsch , ,Vorlesung; Übung ,20 Wochen , ,Technische Informatik ITechnische Informatik II ,Die Teilnehmer kennen ausgewählte Forschungsthemen des , ,Vorlesung: Klausur 2Std. , ,Language. 2. Auflage (7. Februar 2000). Markt+Technik Verlag. 
Lindenmayer-Systeme ,"Digitization"" ", ,LSP , , ,B.Sc. ab 3. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik ,Prof. Dr. Ernesto De Luca ,deutsch , ,Vorlesung; Übung ,eigenständige Erstellung einer wiss. Arbeit + Kolloquium ,Vorlesung: 3 ,Programmierparadigmen ,Lehrstuhls ,"• network architectures (Convolutional Neural Networks, ",Praktikumsschein , ,ISBN 978-0131103627Ben Klemens. C im 21. Jahrhundert. 2. 
"Liquid Democracy -> ""Digitalisierung der Politik - Politik der ",Logic , , , , ,B.Sc. ab 4. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik ,Prof. Dr. rer. nat. Andreas Wendemuth (FEIT-IESK) ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung , ,Praktikum: 2 ,Algorithmen und Datenstrukturen ,Die Teilnehmer können die erlernten Modelle und Verfahren ,"Recurrent/Recursive Neural Networks, Auto-Encoders) ", ,"Beamer, Overhead, Tafel ", 
"Digitalisierung"" ",Logic for business informatics , ,MGLIIC , , ,B.Sc. ab 5. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik ,"Dr. Schulze, FMB-IMS ",englisch , ,Vorlesung; Übung ,Projektspezifisch , , ,implementieren und auf Problemen aus den ,• regularization techniques , , , 
Logik ,Logic II: Theory and Applications , , , , ,B.Sc. ab 4. Semester ,Sommersemester ,"Prof. Molitor, FMB-IFQ ","Prof. Omar, FEIT-IESK ",deutsch , ,Vorlesung; Praktikum , ,Voraussetzungen nach , , ,• introspection & analysis techniques , , ,Seite 56   Inhaltsverzeichnis 
Logik für Wirtschaftsinformatiker ,Logistik Netzwerke , ,ML , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Maschinenbauinformatik ,Prof. Dr.-Ing. K.-H. Grote ,englisch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung , ,Prüfungsordnung: ,• Technische Informatik I , ,• optimization techniques ,Leistungen: , ,     
Logik II: Theorie und Anwendungen ,Logistikprozessanalyse , , , , ,B.Sc. ab 6. Semester ,jedes Semester ,Professur für Praktische Informatik / Computational Intelligence ,Prof. Dr.-Ing. Ludger Deters ,--- , ,Vorlesung; Übung ,Präsenzzeit = 56 Stunden: ,Bestandene Klausur Biochemie ist Voraussetzung für Teilnahme ,• Technische Informatik II ,Seite 53   Inhaltsverzeichnis ,• advanced training strategies (e.g. teacher-student) ,Bearbeitung der Übungsaufgaben , , 
Logistik Netzwerke ,Logistik-Prozessführung , , , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,Professur für Praktische Informatik / Computational Intelligence ,Prof. Dr.-Ing. Karl-Heinrich Grote ,deutsch , ,Vorlesung ,2 SWS Vorlesung ,am Praktikum ,• Programmierparadigmen ,     ,Zeitdiskrete und zeitkontinuierliche Markov-Ketten ,Prüfung: Klausur 120 min (auch für Schein) ,"Power Point, Tafel ",Auflage (28. März 2014). O'Reilly Verlag GmbH & Co. KG. ISBN 
Logistikprozessanalyse ,Logistiksystemplanung , , , , ,M.Sc. ab 3./ 4. Semester ,Wintersemester ,Professur für Angew. Informatik / Wirtschaftsinformatik II – ,Professur für Angewandte Informatik/ Rechnergestützte ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung ,2 SWS Übung , ,• Algorithmen und Datenstrukturen , ,Anwendungen und Programmierung von Berechnungsverfahren , , ,978-3955616922 
Logistik-Prozessführung ,Mainframe Computing , , , , ,B.Sc. ab 2. Semester ,Sommersemester ,KMD ,Ingenieur-systeme ,deutsch , ,Vorlesung; Übung ,Selbstständige Arbeit = 124 Stunden: ,5 ,• Computernetze ,"Forschungsschwerpunkten der Universität anwenden, ",für Markov-Ketten , , ,"David Hanson, David R. Hanson. C Interfaces and "
Logistiksystemplanung ,Management of Global Large IT-Systems in International , , , , ,M.Sc. ab 1. Semester , ,Professur für Angewandte Informatik / Visualisierung ,"Dr. André Brechmann, LIN ",deutsch , ,"Masterarbeit, Kolloquium ",Vor- und Nachbearbeitung von Vorlesung und Übung , , ,insbesondere aus der Medizin und dem Ingenieurwesen ,Methode der zusätzlichen Variablen , , ,Implementations: Techniques for Creating Reusable Software. 1. 
Mainframe Computing ,Companies , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Data and Knowledge Engineering ,FIN: Prof. Dr.-Ing. Sebastian Stober ,deutsch ,FIN: B.Sc. CV ,Vorlesung; Übung; Praktikum ,Bearbeiten von Übungs- und Programmieraufgaben ,Voraussetzungen nach , , ,Proxel-Simulation und Phasenverteilungen ,Die Modulprüfung setzt sich kumulativ aus den geforderten ,"Git, live coding, MOOCs, bar camp ",Auflage (2. Januar 1997). Pearson Education. ISBN 978-
Management of Global Large IT-Systems in International ,Marketing , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Mesut Günes ,Dr. Bernd Reichel ,deutsch ,FIN: B.Sc. INF ,Vorlesung; Übung , ,Prüfungsordnung: , ,The goal of this lecture is to enable students to effectively ,Modellierung mit verborgenen Modellen ,Studienleistungen zusammen. , ,0201498417 
Companies ,Machine Learning , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,angebotsspezifisch ,"Dr.-Ing. Eike Schallehn, Dr.rer. pol. Frank Lesske ",deutsch ,FIN: B.Sc. INGINF ,Vorlesung; Übung , , , ,advance existing (database) technology by finding and solving ,Programmieren von Lösungsverfahren für verschiedene ,Die Modulprüfung setzt sich aus der gemittelten Note , ,"Heinz Peter Gumm, Manfred Sommer. Einführung in die "
Marketing ,Master Thesis , , , , ,B.Sc. ab 2. Semester ,Wintersemester ,Professur für Visual Computing ,Prof. Dr. Till Mossakowski ,deutsch ,FIN: B.Sc. WIF ,Vorlesung ,Präsenzzeiten: ,6 ,Seite 142   Inhaltsverzeichnis ,"complex problems in a self-driven manner. To achieve this goal, ",Modellklassen ,"zusammen, die in den beiden Vorlesungsklausuren erzielt wird. ", ,Informatik. 10. Auflage (1. Januar 2013). De Gruyter 
Maschinelles Lernen ,Materialflusslehre , , , , ,B.Sc. ab 3. Semester , ,Dr.-Ing. Christian Braune ,Prof. Dr. Till Mossakowski ,deutsch ,FIN: B.Sc. ,Vorlesung; Übung ,3 SWS , ,     ,students will advance their problem solving skills from guided ,Modellierung und Lösung von Fragestellungen aus der Medizin ,Studienleistungen: Studienbegleitendes Prüfen ,Seite 382   Inhaltsverzeichnis ,Oldenbourg. ISBN 978-3486706413 
Masterarbeit ,Materialflusstechnik I , , , , ,M.Sc. ab 1. Semester , ,FIN-ISG  / Lehrstuhl Bildverarbeitung/Bildverstehen ,Dr. Bernd Reichel ,deutsch , ,Vorlesung; Übung ,4 Credit Points = 4 x30h (42 h Präsenzzeit + 78 h ,Voraussetzungen nach , ,"(i.e, one gets an imperative description on how to do it), over ",und dem Ingenieurwesen ,(Vorlesungsklausur jeweils am Ende des Semesters); Es sind zwei ,     ,"Alfons Kemper, André Eickler. Datenbanksysteme: Eine "
Materialflusslehre ,Materialflusstechnik II , ,MedBV , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr. Sebastian Stober ,Univ.-Prof. Dr.-Ing. Hartmut Zadek ,deutsch , ,Vorlesung; Übung ,selbstständige Arbeit) ,Prüfungsordnung: ,Die Module 1 bis 5 sollten absolviert sein. ,"supervised (i.e, one gets a declarative description on how to do ", ,bewertete Studienleistungen vorzuweisen. , ,Einführung. 9. Auflage (26. September 2013). De Gruyter 
Materialflusstechnik I ,Materialflusstechnik und Logistik , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Dr. Ch. Steup ,"Prof. Dr.-Ing. habil. Dr.-Ing. E. h. Michael Schenk, Dr.-Ing. Elke ",englisch ,FIN: B.Sc. CV ,Vorlesung; Übung , , , ,"it), to self-driven and self-contained working (i.e., one gets a ","A crash course on the C language, novelties in C11, advanced ", , ,Oldenbourg. ISBN 978-3486721393 
Materialflusstechnik II ,Mathematik I (Lineare Algebra und analytische Geometrie) , ,MP , , ,B.Sc. ab 4. Semester ,Sommersemester ,Professur für Simulation ,Glistau ,deutsch ,FIN: B.Sc. INF ,Vorlesung; Übung , ,6 , ,declarative description on what to do) in context of a non-trival ,"topics and best practice for C development, DBMS/MMDB, ", , ,"Gunter Saake, Kai-Uwe Sattler, Andreas Heuer. Datenbanken: "
Materialflusstechnik und Logistik ,Mathematik II (Algebra und Analysis) , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Dr.-Ing. Christian Braune ,Univ.-Prof. Dr.-Ing. Hartmut Zadek ,deutsch ,FIN: B.Sc. INGINF ,Vorlesung; Übung ,Bachelor , ,"Intelligent Systems, Combinatorial Optimization, Logic, ","problem setting (i.e., low-level system development of some ","architecture overview, core data structures, row-/column ", , ,Implementierungstechniken. 3. Auflage (10. November 2011). 
Mathematik I (Lineare Algebra und analytische Geometrie) ,"Mathematik III (Stochastik, Statistik, Numerik, ", , , , ,B.Sc. ab 5. Semester ,Wintersemester ,Professur für Finanzierung und Banken ,"Prof. Dr.-Ing. habil. Dr.-Ing. E. h. Michael Schenk, Dr.-Ing. Elke ",deutsch ,FIN: B.Sc. WIF ,Vorlesung; Projekt ,Präsenzzeiten = 56 h: ,Voraussetzungen nach ,Modelling ,database internal components and features). ,"storage engine and memory management, physical operators ",Prüfungsleistung / -form: Referat , ,ISBN 978-3826691560 
Mathematik II (Algebra und Analysis) ,Differentialgleichungen) , , , , ,B.Sc. ab 5. Semester , ,Professur für Wirtschaftsinformatik I ,Glistau ,deutsch ,FIN: B.Sc. ,Vorlesung; Übung ,28 h Vorlesung / 28 h Übung ,Prüfungsordnung: ,and Programming skills , ,"and (compiled) query plan execution, concurrency control and ",Das Referat umfasst eine eigenständige und vertiefte schriftliche , ,"John L. Hennessy, David A. Patterson. Computer Architecture: A "
"Mathematik III (Stochastik, Statistik, Numerik, ","Mechanische Schwingungen, Struktur- und Maschinendynamik ", , , , ,M.Sc. ab 1. Semester ,Wintersemester ,"Professur für Angewandte Informatik, Multimedia and Security ",Dr. Volkmar Hinz ,Zuordnung zum ,FIN: B.Sc. WIF - Kernfach ,Vorlesung; Übung ,Selbstständiges Arbeiten = 94 h: , , , ,"multi-threading support, statistics and optimizations, hybrid ",Auseinandersetzung mit einem Problem aus dem ,Seite 388   Inhaltsverzeichnis ,Quantitative Approach. 5. Auflage. (7. November 2011). Morgan 
Differentialgleichungen) ,Mechatronics of machine tools , ,MuWC , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,"Dr. Horstfried Läpple, Dipl. Math. Karl-Albert Bebber ",Curriculum:  , ,Vorlesung; Übung; Praktikum ,"40 h Vor- und Nachbereitung Vorlesung, Prüfungsvorbereitung ",Bachelor: 5 , ,Lernziele & erworbene Kompetenzen: ,transactional and analytic processing. ,Arbeitszusammenhang der Lehrveranstaltung unter ,     ,Kaufmann. ISBN 978-0123838728 
"Mechanische Schwingungen, Struktur- und Maschinendynamik ",Mechatronic Actuators and Sensorees , ,MikWst , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,Professur für Marketing ,FIN: M.Sc. INF - Bereich Informatik , ,Vorlesung; Übung ,54 h Entwicklung eines Programmes in der Übung ,Master: 6 , ,Einarbeitung in einem anspruchsvollen wissenschaftli-chen , ,"Einbeziehung und Auswer-tung einschlägiger Literatur, sowie die ", ,Syd Logan. Cross-Platform Development in C++. 2. Auflage 
Mechatronik der Werkzeugmaschinen ,Medical Image Processing , ,MobCom , , ,B.Sc. ab 4. Semester ,Wintersemester ,Professur für Angewandte Informatik / Multimedia and Security ,Prof. Dr.-Ing. Andreas Nürnberger , ,FIN: B.Sc. CV ,Vorlesung ,Master , ,"Grundlagen der Informatik, Datenbanken, Programmierung ",Gebiet , ,Darstellung der Arbeit und die Vermittlung ihrer Ergebnisse im , ,(2008). Addison-Wesley Professional. ISBN 978-0321246424 
Mechatronische Aktoren und Sensoren ,Medical Visualization , , , , ,B.Sc. ab 3. Semester , ,Prof. Dr.-Ing. Jana Dittmann ,Hochschullehrer der FIN , ,FIN: B.Sc. INF ,Vorlesung; Praktikum ,Präsenzzeiten = 56 h: ,Voraussetzungen nach , ,"Erwerb relevanter Literatur zum Thema, Gegenüberste-lung von ",Argumentationstheorie ist ein interdisziplinäres Fachgebiet mit ,mündlichen Vortrag sowie in der anschließenden Diskussion. , , 
Medizinische Bildverarbeitung ,Mesh Processing , ,PBM , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,Prof. Dr. Ernesto De Luca ,Professur für Logistik ,deutsch ,FIN: B.Sc. INF - Studienprofil - Web-Gründer ,Vorlesung; Praktikum ,28 h Vorlesung / 28 h Übung ,Prüfungsordnung: , ,Literaturinhalten anhand von eigens abgeleiteten ,"dem Ziel der Repräsentation, Analyse und Evaluation von Argu-",Die Ausarbeitungen müssen schriftlich vorliegen. , , 
Medizinische Visualisierung ,Measurement technology , ,Mod , , ,M.Sc. ab 1. Semester , ,Prof. Dr. rer. nat. Andreas Wendemuth (FEIT-IESK) ,"Hon.-Prof. K. Richter, Jun.-Prof. A. Katterfeld, FMB-ILM ",deutsch ,FIN: B.Sc. INGINF ,Vorlesung; Praktikum ,Selbstständiges Arbeiten = 124 h: , , ,Vergleichskriterien ,mentationen. Dabei betrachtet die Argumentationstheorie viele , , , 
Mesh Processing ,Methods of Virtual Engineering in Mechanics , , , , ,M.Sc. ab 1. Semester , ,"Dr. Schulze, FMB-IMS ","Jun.-Prof. A. Katterfeld, (weitere Lehrende: Hon.-Prof. K. ",deutsch ,FIN: B.Sc. WIF ,Vorlesung; Übung ,"40 h Vor- und Nachbereitung Vorlesung, Prüfungsvorbereitung ",5 , ,Zusammenfassung und kritische Würdigung von Literatur ,"Aspekte von Argumentationen, von denen in deduktiver ", ,"Burghardt, M. (1997): Projektmanagement: Leitfaden für die ", 
Messtechnik ,Middleware für verteilte industrielle Umgebungen , ,SimComNets , , ,B.Sc. ab 2. Semester ,Sommersemester ,"Prof. Omar, FEIT-IESK ","Richter), FMBILM ",englisch , ,Vorlesung; Übung; Praktikum ,54 h Entwicklung eines Programmes in der Übung , ,Grundlagen zu: Data Mining ,"zum vorgegebenen Thema, sowohl in mündlicher als auch in ",symboli-scher Logik (z.B. Prädikatenlogik erster Stufe) , ,"Planung, Überwachung und Steuerung von ", 
Methoden des Virtual Engineering in der Mechanik ,Mikrobiologie , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Konstruktionstechnik ,Hon.-Prof. Dr. K. Richter / Prof. Dr. H. Zadek ,deutsch , ,Vorlesung; Übung ,30 h Erstellen einer Applikation im Laufe des Semesters ,Voraussetzungen nach , ,schriftlicher Form ,typischerweise abs-trahiert wird: ,- Hausarbeit ,"Entwicklungsprojekten. 4. Aufl., Erlangen. ", 
Middleware für verteilte industrielle Umgebungen ,Microscopy and Characterization of Materials , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,MK ,Professur für Geometrie ,englisch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung , ,Prüfungsordnung: , , ,"Viele Behauptungen lassen sich nicht beweisen, sondern es gibt ",oder nach Beitritt zur Prüfungsordnung vom November 2013 , ,Seite 57   Inhaltsverzeichnis 
Mikrobiologie ,Mikrostruktur der Werkstoffe , ,MMSEC , , ,B.Sc. ab 3. Semester , ,Professur für Maschinenelemente und Tribologie ,Professur für Geometrie ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung , , , , ,Argumente dafür und dagegen (Pro und Contra). ,- Referat , ,     
Mikroskopie und Werkstoffcharakterisierung ,Mobile Communication , ,MIR , , ,B.Sc. ab 3. Semester , ,Professur für Angewandte Informatik/ Rechnergestützte ,Professur für Geometrie ,deutsch ,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,Vorlesung ,Präsenzzeiten: ,5 , ,Seite 58   Inhaltsverzeichnis ,"Argumentationen können ein, zwei oder mehr Agenten ", , , 
Mikrostruktur der Werkstoffe ,Model-Driven Software Development , ,MIR , , ,M.Sc. ab 1. Semester ,Wintersemester ,Ingenieur-systeme ,"Prof. Strackeljan, IFME ",deutsch ,FIN: M.Sc. DKE (alt) - Bereich Models ,Vorlesung ,2 SWS Vorlesung , ,Veranstaltung „Datenbanken I“ und „Datenbanken II“ ,     ,"involvieren, die unterschiedlich kompetent oder ", , , 
Mobilkommunikation ,Modeling with population balances , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,"Dr. André Brechmann, LIN ","Prof. Möhring, FMB-IFQ ",deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods I ,Vorlesung ,Selbständiges Arbeiten: ,Voraussetzungen nach , , ,vertrauenswürdig sein können. ,Klausur (120 Minuten) , ,"I. Rahwan, G. R. Simari (eds): „Argumentation in Artificial "
Model-Driven Software Development ,Modeling , ,CE , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,FIN: Lehrstuhl Praktische Informatik / Artificial Intelligence ,"Prof Kaspar, FMB-IMS ",deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung ,Vorlesungsnachbereitung ,Prüfungsordnung: , , ,"Diese Agenten können Argumente vorbringen, die sich ", , ,"Intelligence“, Springer, 2009. "
Modeling with population balances ,Modellierung und Expertensysteme in der elektrischen , , , , ,B.Sc. ab 6. Semester ,Sommersemester ,Dr. Bernd Reichel ,"Professur für Praktische Informatik / Bildverarbeitung, ",englisch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,90h = 2 SWS = 28h Präsenzzeit + 62h Selbstständige Arbeit , , , ,gegenseitig stützen oder angreifen. , , ,"P. Besnard , A. Hunter: „Elements of Argumentation“, MIT Press, "
Modellierung ,Energieversorgung , ,NarVis , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Dr.-Ing. Eike Schallehn ,Bildverste-hen ,englisch ,FIN: M.Sc. VC - Computer Science ,Vorlesung; Übung , ,5 , ,Lernziele & erworbene Kompetenzen: ,Oft werden Argumente nicht-deduktiv gestützt (beispielsweise ,Prüfung : mündlich , ,2008 
Modellierung und Expertensysteme in der elektrischen ,Modeling and Simulation of Computer Networks , ,NeuroSymbV , , ,B.Sc. ab 3. Semester ,Sommersemester ,Prof. Theoretische Informatik ,Prof. Dr. Bernhard Preim ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Ringvorlesung (2 SWS) und wissenschaftliche Projektarbeit mit , , ,"Grundlagen Statistik, Bildverarbeitung, und Visualisierung ","Grundlagen der Assistenzrobotik (mobile Roboter, ",mit Analogien). , , , 
Energieversorgung ,Molekulare Immunologie , ,NN , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Lehrstuhl Theoretische Informatik ,Dr. Christian Rössl ,deutsch ,WPF CMA ,Vortrag (1 SWS) ,Präsenzzeiten: ,Voraussetzungen nach , ,"Industrieroboter, Sensorik) ",Die Schlüssigkeit des Arguments hängt vom Vorwissen und den , , , 
Modellierung und Simulation von Computernetzen ,Molekulare Zellbiologie , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Lehrstuhl für Theoretische Informatik ,"Priv.-Doz. Dr. rer. nat. habil. Ralf Lucklum, Dr.-Ing. Frank ",deutsch ,M 1-2 ,Vorlesung; Übung ,3 h Vorlesung pro Woche ,Prüfungsordnung: , ,Modellierung von Roboterkinematiken ,Interessen des Publikums ab. , , , 
Molekulare Immunologie ,Multimedia and Security , ,NMVC , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Logistische Systeme ,Eichelbaum ,deutsch ,PF IT ,Vorlesung; Übung ,1 h Übung pro Woche , , ,Voraussetzungen und Lösungsansätze bzgl. der Mensch ,"Wissensrepresentationssprachen, die auf deduktiver, ",Seite 106   Inhaltsverzeichnis , , 
Molekulare Zellbiologie ,Multimedia Retrieval , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Logistik ,"Prof. Gabbert, FMB-IFME ",englisch ,"D-IE 5, PF IT ",Seminar ,Selbstständiges Arbeiten: ,5 , ,Roboter-Kollaboration (MRK) und Mensch-Roboter-Interaktion ,"symbolischer Logik aufbauen, sind daher in der Regel nicht ",     ,"Grzegorz Rozenberg, Arto Salomaa: ", 
